segment,date,supply,demand,occupancy_rate,average_daily_rate,revenue_per_available_room,sample_properties,sample_rooms,census_properties,census_rooms
3 Star Hotels+,2017-12,50437,30500,60.5,180.76,109.31,16,1501,17,1627
3 Star Hotels+,2018-05,50220,33079,65.9,168.54,111.01,16,1494,17,1620
3 Star Hotels+,2018-06,48600,29936,61.6,171.46,105.62,16,1494,17,1620
3 Star Hotels+,2019-10,56730,46107,81.3,172.92,140.53,18,1704,19,1830
3 Star Hotels+,2020-01,55335,44857,81.1,177.79,144.13,17,1659,18,1785
3 Star Hotels+,2021-05,56234,44146,78.5,200.3,157.24,16,1595,18,1814
3 Star Hotels+,2024-04,75570,54201,71.7,205.77,147.58,22,2441,24,2519
4 Star Hotels+,2015-12,152241,92211,60.6,373.92,226.48,25,4911,25,4911
4 Star Hotels+,2016-11,148650,96845,65.1,334.4,217.86,25,4955,25,4955
4 Star Hotels+,2017-05,153946,84941,55.2,308.37,170.15,25,4966,25,4966
4 Star Hotels+,2023-04,219120,95845,43.7,232.13,101.54,37,7088,38,7304
4 Star Hotels+,2024-04,227640,140039,61.5,246.44,151.61,39,7309,42,7588
5 Star Hotels+,2014-03,225680,177628,78.7,768.02,604.49,23,6687,25,7280
5 Star Hotels+,2016-02,271908,166353,61.2,699.53,427.97,34,9489,35,9711
5 Star Hotels+,2019-06,390690,207123,53.0,571.11,302.77,47,12608,49,13023
5 Star Hotels+,2024-12,601710,445275,74.0,682.94,505.39,79,19340,80,19410
Deluxe Apartments+,2014-12,121086,106027,87.6,353.66,309.68,6,3826,7,3906
Deluxe Apartments+,2017-01,128278,103600,80.8,323.95,261.63,9,4138,9,4138
Deluxe Apartments+,2017-10,148304,100956,68.1,331.78,225.86,11,4784,11,4784
Deluxe Apartments+,2018-12,156891,109960,70.1,310.61,217.7,13,5061,13,5061
Deluxe Apartments+,2021-09,190200,119484,62.8,360.4,226.4,17,6340,17,6340
Deluxe Apartments+,2022-01,196540,104703,53.3,372.62,198.51,17,6340,17,6340
Deluxe Apartments+,2022-02,177520,91141,51.3,380.98,195.6,17,6340,17,6340
Deluxe Apartments+,2023-02,236376,125139,52.9,385.14,203.89,29,8442,29,8442
Deluxe Apartments+,2023-11,258660,190907,73.8,360.8,266.29,29,8510,30,8622
Deluxe Apartments+,2024-12,267096,227504,85.2,410.21,349.4,28,8462,30,8616
Qatar+,2016-03,628897,457721,72.8,556.37,404.94,86,19892,89,20287
Qatar+,2017-10,736777,413586,56.1,408.5,229.31,102,23372,105,23767
Qatar+,2019-02,711760,506048,71.1,373.22,265.35,113,25025,116,25420
Qatar+,2019-05,823143,443398,53.9,338.69,182.44,115,25749,120,26553
Qatar+,2020-02,760956,527595,69.3,374.44,259.61,123,26829,125,27177
Qatar+,2020-10,862358,499934,58.0,360.74,209.13,123,27349,127,27818
Qatar+,2021-02,806204,538621,66.8,347.9,232.43,129,28352,132,28793
Qatar+,2022-01,913632,524223,57.4,375.61,215.52,132,29124,134,29472
Qatar+,2022-07,929442,489824,52.7,449.97,237.14,137,29745,139,29982
Qatar+,2024-11,1201800,1001154,83.3,487.22,405.88,186,39267,197,40060
Standard Apartments+,2016-06,4980,2915,58.5,238.59,139.66,3,166,3,166
Standard Apartments+,2024-05,32612,17787,54.5,223.17,121.72,8,1052,8,1052
1 & 2 Star Hotels+,2014-06,13530,10535,77.9,255.16,198.67,5,371,7,451
1 & 2 Star Hotels+,2014-08,13981,9805,70.1,265.07,185.9,5,371,7,451
1 & 2 Star Hotels+,2015-05,14756,10453,70.8,278.1,197.01,7,451,8,476
1 & 2 Star Hotels+,2017-06,14430,5145,35.7,227.85,81.24,8,481,8,481
1 & 2 Star Hotels+,2017-10,16647,9575,57.5,183.6,105.6,9,537,9,537
1 & 2 Star Hotels+,2017-12,16647,11217,67.4,180.13,121.38,9,537,9,537
1 & 2 Star Hotels+,2018-02,15036,10399,69.2,176.8,122.28,9,537,9,537
1 & 2 Star Hotels+,2018-05,16647,11718,70.4,170.04,119.69,9,537,9,537
1 & 2 Star Hotels+,2018-11,16110,12584,78.1,176.04,137.51,9,537,9,537
1 & 2 Star Hotels+,2019-10,16678,14737,88.4,168.93,149.27,9,538,9,538
1 & 2 Star Hotels+,2019-11,16140,14052,87.1,166.35,144.83,9,538,9,538
1 & 2 Star Hotels+,2020-01,16585,14897,89.8,168.78,151.6,9,535,9,535
1 & 2 Star Hotels+,2020-10,13671,7954,58.2,145.66,84.75,8,441,8,441
1 & 2 Star Hotels+,2021-01,13671,10112,74.0,149.38,110.49,8,441,8,441
1 & 2 Star Hotels+,2021-12,13144,10321,78.5,218.07,171.23,7,424,7,424
1 & 2 Star Hotels+,2022-03,16616,15394,92.6,188.52,174.65,9,536,9,536
1 & 2 Star Hotels+,2022-07,16616,13881,83.5,176.97,147.84,9,536,9,536
1 & 2 Star Hotels+,2023-10,18166,17093,94.1,152.24,143.25,10,586,10,586
1 & 2 Star Hotels+,2023-12,18166,16263,89.5,161.89,144.93,10,586,10,586
1 & 2 Star Hotels+,2024-01,18166,18220,100.3,212.14,212.77,10,586,10,586
1 & 2 Star Hotels+,2024-11,17580,17939,102.0,203.34,207.49,9,536,10,586
3 Star Hotels+,2014-11,30390,26868,88.4,271.84,240.33,9,709,12,1013
3 Star Hotels+,2015-02,31108,23090,74.2,302.97,224.88,12,985,13,1111
3 Star Hotels+,2016-03,38564,25301,65.6,301.77,197.98,13,1118,14,1244
3 Star Hotels+,2016-07,36239,18572,51.2,270.66,138.71,12,1043,13,1169
3 Star Hotels+,2016-11,37320,23380,62.6,262.85,164.67,13,1118,14,1244
3 Star Hotels+,2017-09,48660,23271,47.8,181.07,86.59,16,1496,17,1622
3 Star Hotels+,2018-02,45360,28929,63.8,172.95,110.3,16,1494,17,1620
3 Star Hotels+,2022-05,49259,39055,79.3,200.29,158.8,15,1589,15,1589
3 Star Hotels+,2023-05,71610,57249,79.9,171.59,137.18,21,2232,23,2310
3 Star Hotels+,2024-05,78089,61792,79.1,167.75,132.74,22,2441,24,2519
3 Star Hotels+,2024-10,78089,64156,82.2,175.53,144.21,21,2370,24,2519
4 Star Hotels+,2014-02,129976,102350,78.7,398.46,313.76,22,4415,23,4642
4 Star Hotels+,2014-03,143902,110415,76.7,412.53,316.54,22,4415,23,4642
4 Star Hotels+,2015-08,146878,90134,61.4,376.34,230.95,24,4738,24,4738
4 Star Hotels+,2015-11,147360,96789,65.7,384.97,252.86,25,4912,25,4912
4 Star Hotels+,2016-07,153605,77987,50.8,331.93,168.52,25,4955,25,4955
4 Star Hotels+,2016-10,153605,85315,55.5,328.7,182.57,25,4955,25,4955
4 Star Hotels+,2016-12,153605,91251,59.4,317.5,188.61,25,4955,25,4955
4 Star Hotels+,2019-12,176886,133881,75.7,233.17,176.48,29,5706,29,5706
4 Star Hotels+,2023-09,223110,125482,56.2,206.84,116.33,38,7133,40,7437
4 Star Hotels+,2024-01,235228,204576,87.0,318.18,276.72,40,7428,42,7588
4 Star Hotels+,2024-06,227640,138910,61.0,213.09,130.03,39,7309,42,7588
4 Star Hotels+,2024-09,227640,145492,63.9,206.5,131.98,39,7309,42,7588
4 Star Hotels+,2024-11,233760,189797,81.2,267.85,217.47,40,7513,43,7792
4 Star Hotels+,2025-02,229264,188722,82.3,288.12,237.17,42,7909,45,8188
5 Star Hotels+,2014-06,207270,146823,70.8,727.16,515.1,23,6687,24,6909
5 Star Hotels+,2014-12,230826,162144,70.2,784.2,550.86,24,7060,26,7446
5 Star Hotels+,2017-01,312542,197698,63.3,629.86,398.42,36,9860,37,10082
5 Star Hotels+,2017-12,334893,177646,53.0,579.89,307.6,39,10581,40,10803
5 Star Hotels+,2019-08,396521,199165,50.2,560.37,281.46,46,12376,48,12791
5 Star Hotels+,2020-03,406751,201807,49.6,482.56,239.42,50,12899,51,13121
5 Star Hotels+,2020-10,414036,224758,54.3,508.88,276.24,51,13134,52,13356
5 Star Hotels+,2021-01,414036,236764,57.2,434.73,248.6,51,13134,52,13356
5 Star Hotels+,2021-04,413610,258238,62.4,446.28,278.64,53,13565,54,13787
5 Star Hotels+,2022-09,458790,246686,53.8,564.3,303.42,58,15071,59,15293
5 Star Hotels+,2022-12,553629,314178,56.7,3081.65,1748.8,71,17637,72,17859
5 Star Hotels+,2024-11,582300,468276,80.4,666.8,536.23,79,19340,80,19410
5 Star Hotels+,2025-01,602082,448173,74.4,638.83,475.53,79,19352,80,19422
Deluxe Apartments+,2014-01,120807,103505,85.7,344.73,295.36,6,3817,7,3897
Deluxe Apartments+,2014-06,116910,102538,87.7,331.93,291.12,6,3817,7,3897
Deluxe Apartments+,2015-08,121024,92388,76.3,357.1,272.6,7,3904,7,3904
Deluxe Apartments+,2015-09,117120,92761,79.2,368.34,291.73,7,3904,7,3904
Deluxe Apartments+,2016-05,123690,89931,72.7,343.8,249.96,7,3990,7,3990
Deluxe Apartments+,2017-03,136028,101439,74.6,353.28,263.45,10,4388,10,4388
Deluxe Apartments+,2017-07,148304,90762,61.2,346.32,211.95,11,4784,11,4784
Deluxe Apartments+,2017-09,143520,92789,64.7,349.42,225.91,11,4784,11,4784
Deluxe Apartments+,2017-11,143520,98557,68.7,335.59,230.46,11,4784,11,4784
Deluxe Apartments+,2018-08,148459,103752,69.9,303.34,211.99,11,4789,11,4789
Deluxe Apartments+,2019-09,145830,104058,71.4,306.78,218.91,12,4861,12,4861
Deluxe Apartments+,2023-05,261702,147573,56.4,326.85,184.31,27,8250,29,8442
Deluxe Apartments+,2024-05,267282,192968,72.2,335.39,242.14,29,8510,30,8622
Deluxe Apartments+,2025-01,267096,229834,86.0,410.64,353.35,28,8462,30,8616
Qatar+,2014-01,530534,405887,76.5,529.96,405.45,64,16299,72,17114
Qatar+,2014-02,479192,368458,76.9,523.31,402.38,66,16379,72,17114
Qatar+,2016-01,617706,438072,70.9,516.67,366.42,84,19479,88,19926
Qatar+,2017-02,613816,413014,67.3,462.83,311.42,94,21527,97,21922
Qatar+,2017-04,664890,466097,70.1,502.92,352.55,95,21768,98,22163
Qatar+,2017-07,711450,351767,49.4,475.74,235.23,99,22602,101,22950
Qatar+,2017-08,711450,359227,50.5,447.56,225.98,99,22602,101,22950
Qatar+,2018-02,673820,427241,63.4,394.15,249.91,105,23670,108,24065
Qatar+,2018-08,766785,429722,56.0,395.38,221.58,107,24192,110,24735
Qatar+,2018-09,752250,442826,58.9,359.93,211.88,110,24532,113,25075
Qatar+,2019-06,799050,471115,59.0,391.19,230.64,115,25831,120,26635
Qatar+,2019-11,788370,566437,71.8,368.24,264.57,118,25931,120,26279
Qatar+,2021-06,881520,588612,66.8,390.11,260.49,133,28943,136,29384
Qatar+,2021-09,877740,641608,73.1,376.04,274.88,132,28817,135,29258
Qatar+,2023-10,1203699,787389,65.4,414.54,271.17,183,38263,189,38829
Qatar+,2024-06,1186470,708348,59.7,408.88,244.11,187,38919,195,39549
Qatar+,2024-09,1192710,756035,63.4,379.59,240.61,182,38738,195,39757
Standard Apartments+,2014-01,5146,3982,77.4,269.78,208.76,3,166,3,166
Standard Apartments+,2014-05,5146,3567,69.3,247.79,171.76,3,166,3,166
Standard Apartments+,2015-02,4648,3846,82.7,263.83,218.31,3,166,3,166
Standard Apartments+,2016-01,5146,3608,70.1,267.16,187.31,3,166,3,166
Standard Apartments+,2017-08,26567,13652,51.4,288.78,148.4,5,857,5,857
Standard Apartments+,2017-09,25710,15088,58.7,287.11,168.49,5,857,5,857
Standard Apartments+,2018-07,26567,17295,65.1,270.38,176.02,5,857,5,857
Standard Apartments+,2020-03,30597,21546,70.4,264.18,186.03,6,987,6,987
Standard Apartments+,2021-03,31527,26039,82.6,226.29,186.9,7,1017,7,1017
Standard Apartments+,2022-04,31560,16538,52.4,258.23,135.32,8,1052,8,1052
Standard Apartments+,2023-01,32612,14138,43.4,231.46,100.34,8,1052,8,1052
Standard Apartments+,2023-03,32612,17266,52.9,228.65,121.05,8,1052,8,1052
Standard Apartments+,2024-04,31560,17020,53.9,268.2,144.64,8,1052,8,1052
Standard Apartments+,2024-10,32612,21571,66.1,227.41,150.42,7,961,8,1052
1 & 2 Star Hotels+,2014-09,13530,10830,80.0,266.44,213.27,5,371,7,451
1 & 2 Star Hotels+,2014-10,13981,11699,83.7,281.59,235.63,5,371,7,451
1 & 2 Star Hotels+,2015-01,13981,12827,91.7,294.15,269.86,6,379,7,451
1 & 2 Star Hotels+,2016-03,14756,10457,70.9,292.25,207.11,8,476,8,476
1 & 2 Star Hotels+,2016-12,14911,9792,65.7,243.18,159.7,8,481,8,481
1 & 2 Star Hotels+,2017-08,16647,8144,48.9,188.92,92.42,9,537,9,537
1 & 2 Star Hotels+,2017-09,16110,7978,49.5,189.26,93.72,9,537,9,537
1 & 2 Star Hotels+,2017-11,16110,10466,65.0,182.26,118.4,9,537,9,537
1 & 2 Star Hotels+,2019-01,16647,13171,79.1,172.59,136.55,9,537,9,537
1 & 2 Star Hotels+,2019-05,16678,11756,70.5,165.7,116.8,9,538,9,538
1 & 2 Star Hotels+,2022-12,16616,14579,87.7,423.84,371.88,9,536,9,536
1 & 2 Star Hotels+,2023-08,18166,15860,87.3,148.03,129.24,10,586,10,586
1 & 2 Star Hotels+,2024-05,18166,15845,87.2,148.26,129.32,10,586,10,586
3 Star Hotels+,2014-05,28861,19779,68.5,266.69,182.77,10,805,11,931
3 Star Hotels+,2015-04,33330,21988,66.0,289.8,191.18,12,985,13,1111
3 Star Hotels+,2015-05,38626,24006,62.1,291.62,181.24,13,1120,14,1246
3 Star Hotels+,2015-11,37320,22711,60.9,277.51,168.88,13,1118,14,1244
3 Star Hotels+,2017-01,38285,25713,67.2,265.32,178.19,13,1109,14,1235
3 Star Hotels+,2017-06,48660,18006,37.0,204.12,75.53,16,1496,17,1622
3 Star Hotels+,2018-10,49476,36973,74.7,170.36,127.31,16,1470,17,1596
3 Star Hotels+,2021-04,54420,44177,81.2,183.46,148.93,16,1595,18,1814
3 Star Hotels+,2021-10,45167,38694,85.7,214.84,184.05,13,1331,14,1457
3 Star Hotels+,2022-02,44492,40281,90.5,227.95,206.38,14,1463,15,1589
3 Star Hotels+,2022-12,67518,50927,75.4,778.96,587.54,20,2163,21,2178
3 Star Hotels+,2023-03,69657,52701,75.7,190.73,144.3,21,2232,22,2247
3 Star Hotels+,2023-07,71610,53469,74.7,166.1,124.02,21,2232,23,2310
3 Star Hotels+,2023-09,69300,56240,81.2,164.85,133.78,21,2232,23,2310
3 Star Hotels+,2024-03,72354,49012,67.7,181.08,122.66,21,2256,23,2334
3 Star Hotels+,2025-03,78430,48999,62.5,175.08,109.38,22,2396,24,2530
4 Star Hotels+,2014-10,143871,114681,79.7,404.83,322.7,22,4414,23,4641
4 Star Hotels+,2016-06,148680,67870,45.6,325.11,148.41,25,4956,25,4956
4 Star Hotels+,2018-09,169650,97553,57.5,230.2,132.37,29,5655,29,5655
4 Star Hotels+,2020-02,163044,111023,68.1,225.3,153.41,30,5823,30,5823
4 Star Hotels+,2020-05,176204,89274,50.7,215.77,109.32,28,5573,29,5684
4 Star Hotels+,2022-03,181877,120961,66.5,248.85,165.5,31,5867,31,5867
4 Star Hotels+,2024-05,235228,153278,65.2,211.76,137.99,39,7309,42,7588
4 Star Hotels+,2025-01,253673,203317,80.1,276.7,221.77,42,7904,45,8183
5 Star Hotels+,2014-02,203840,148064,72.6,760.91,552.71,24,7058,25,7280
5 Star Hotels+,2014-05,214179,157082,73.3,753.67,552.75,23,6687,24,6909
5 Star Hotels+,2016-12,312201,189125,60.6,630.11,381.71,36,9849,37,10071
5 Star Hotels+,2017-08,320540,151620,47.3,663.07,313.64,37,10118,38,10340
5 Star Hotels+,2018-02,302484,185075,61.2,555.54,339.91,39,10581,40,10803
5 Star Hotels+,2018-03,346177,225155,65.0,576.96,375.26,39,10693,41,11167
5 Star Hotels+,2020-01,399559,246203,61.6,509.41,313.89,49,12667,50,12889
5 Star Hotels+,2020-07,414036,190200,45.9,563.82,259.01,50,12966,52,13356
5 Star Hotels+,2021-02,384076,257930,67.2,450.75,302.71,52,13495,53,13717
5 Star Hotels+,2023-02,509656,292050,57.3,586.9,336.31,74,18202,74,18202
5 Star Hotels+,2023-06,554310,270430,48.8,597.5,291.5,75,18477,75,18477
5 Star Hotels+,2025-02,553280,434310,78.5,671.0,526.72,80,19690,81,19760
Deluxe Apartments+,2014-03,120807,102051,84.5,342.78,289.56,6,3817,7,3897
Deluxe Apartments+,2015-02,109312,94559,86.5,367.35,317.77,7,3904,7,3904
Deluxe Apartments+,2015-03,121024,107241,88.6,379.64,336.4,7,3904,7,3904
Deluxe Apartments+,2015-05,121024,103311,85.4,351.71,300.23,7,3904,7,3904
Deluxe Apartments+,2015-11,119700,98141,82.0,355.82,291.73,7,3990,7,3990
Deluxe Apartments+,2016-03,123690,98220,79.4,372.03,295.42,7,3990,7,3990
Deluxe Apartments+,2018-02,134092,92773,69.2,336.81,233.03,11,4789,11,4789
Deluxe Apartments+,2019-03,150691,118076,78.4,305.11,239.08,12,4861,12,4861
Deluxe Apartments+,2019-06,145830,96344,66.1,309.17,204.26,12,4861,12,4861
Deluxe Apartments+,2020-05,165137,90856,55.0,315.45,173.56,14,5327,14,5327
Deluxe Apartments+,2021-04,179940,111842,62.2,363.83,226.14,16,5998,16,5998
Deluxe Apartments+,2022-06,193680,93427,48.2,390.12,188.19,17,6456,17,6456
Deluxe Apartments+,2022-12,262477,158807,60.5,1655.47,1001.61,28,8438,29,8467
Deluxe Apartments+,2023-08,267282,163235,61.1,308.64,188.5,29,8510,30,8622
Deluxe Apartments+,2023-10,267282,179779,67.3,338.11,227.42,29,8510,30,8622
Deluxe Apartments+,2024-10,267282,208310,77.9,341.96,266.51,28,8468,30,8622
Qatar+,2014-06,502290,381004,75.9,492.91,373.88,65,16008,71,16743
Qatar+,2015-06,555780,347223,62.5,490.98,306.74,79,18131,82,18526
Qatar+,2015-12,604500,396854,65.6,507.5,333.17,83,19105,86,19500
Qatar+,2017-01,667802,443949,66.5,457.64,304.24,92,21147,95,21542
Qatar+,2017-12,740032,426182,57.6,400.48,230.64,103,23477,106,23872
Qatar+,2018-03,757299,505028,66.7,402.01,268.09,105,23782,109,24429
Qatar+,2018-04,732870,471649,64.4,412.73,265.62,106,24034,109,24429
Qatar+,2019-01,784331,517438,66.0,361.05,238.19,112,24906,115,25301
Qatar+,2020-09,827340,473521,57.2,358.44,205.15,121,26998,126,27578
Qatar+,2022-10,994697,547780,55.1,456.61,251.45,145,31850,147,32087
Qatar+,2022-12,1162345,694386,59.7,2103.59,1256.69,174,36565,179,37495
Qatar+,2023-04,1136400,533198,46.9,443.9,208.28,178,37457,182,37880
Qatar+,2023-12,1205063,868995,72.1,425.52,306.85,186,38453,192,38873
Qatar+,2024-07,1226019,718798,58.6,377.64,221.4,185,38785,195,39549
Qatar+,2024-10,1240093,865744,69.8,415.22,289.88,186,39210,197,40003
Qatar+,2025-01,1254167,993515,79.2,470.95,373.07,187,39639,199,40457
Standard Apartments+,2014-04,4980,3650,73.3,267.98,196.41,3,166,3,166
Standard Apartments+,2015-05,5146,3664,71.2,246.31,175.38,3,166,3,166
Standard Apartments+,2015-06,4980,3164,63.5,237.65,150.99,3,166,3,166
Standard Apartments+,2015-11,4980,3561,71.5,254.34,181.87,3,166,3,166
Standard Apartments+,2015-12,5146,3456,67.2,261.34,175.51,3,166,3,166
Standard Apartments+,2016-09,4980,2645,53.1,238.06,126.44,3,166,3,166
Standard Apartments+,2018-09,25710,17722,68.9,272.15,187.59,5,857,5,857
Standard Apartments+,2018-12,26567,17985,67.7,269.29,182.3,5,857,5,857
Standard Apartments+,2019-04,29610,23208,78.4,268.35,210.33,6,987,6,987
Standard Apartments+,2020-10,30225,20194,66.8,223.49,149.32,5,947,6,975
Standard Apartments+,2021-02,28476,22265,78.2,224.94,175.88,7,1017,7,1017
Standard Apartments+,2021-12,29884,21953,73.5,288.73,212.1,7,964,7,964
Standard Apartments+,2023-10,32612,22424,68.8,219.23,150.74,8,1052,8,1052
Standard Apartments+,2024-06,31560,16424,52.0,228.88,119.11,7,961,8,1052
Standard Apartments+,2025-01,32612,25215,77.3,266.79,206.28,7,961,8,1052
Standard Apartments+,2025-03,32612,22300,68.4,214.45,146.64,7,961,8,1052
Standard Apartments+,2015-08,5146,3047,59.2,243.92,144.43,3,166,3,166
Standard Apartments+,2016-12,26567,4520,17.0,266.67,45.37,5,857,5,857
Standard Apartments+,2020-01,30597,22162,72.4,267.43,193.7,6,987,6,987
Standard Apartments+,2020-04,29610,18883,63.8,252.12,160.78,6,987,6,987
Standard Apartments+,2023-09,31560,20153,63.9,211.06,134.77,8,1052,8,1052
Standard Apartments+,2024-11,31560,25592,81.1,275.92,223.74,7,961,8,1052
1 & 2 Star Hotels+,2014-04,13530,10851,80.2,252.77,202.71,5,371,7,451
1 & 2 Star Hotels+,2017-02,13468,10080,74.8,243.84,182.5,8,481,8,481
1 & 2 Star Hotels+,2018-01,16647,11016,66.2,179.48,118.77,9,537,9,537
1 & 2 Star Hotels+,2018-03,16647,12608,75.7,177.28,134.27,9,537,9,537
1 & 2 Star Hotels+,2018-09,16110,11474,71.2,167.35,119.19,9,537,9,537
1 & 2 Star Hotels+,2018-12,16647,14093,84.7,174.26,147.53,9,537,9,537
1 & 2 Star Hotels+,2019-02,15036,13016,86.6,171.08,148.09,9,537,9,537
1 & 2 Star Hotels+,2020-02,14980,13760,91.9,167.44,153.8,9,535,9,535
1 & 2 Star Hotels+,2020-07,12276,7306,59.5,150.66,89.66,6,285,7,396
1 & 2 Star Hotels+,2020-08,13671,7869,57.6,142.68,82.12,6,274,8,441
1 & 2 Star Hotels+,2020-11,13230,8893,67.2,149.06,100.2,8,441,8,441
1 & 2 Star Hotels+,2020-12,13671,9728,71.2,153.96,109.55,8,441,8,441
1 & 2 Star Hotels+,2025-02,17668,18171,102.8,212.56,218.61,9,536,11,631
3 Star Hotels+,2014-03,28861,20817,72.1,302.57,218.25,10,805,11,931
3 Star Hotels+,2014-12,31403,24655,78.5,291.73,229.05,10,791,12,1013
3 Star Hotels+,2018-08,50220,33207,66.1,167.83,110.98,16,1494,17,1620
3 Star Hotels+,2018-09,48600,33485,68.9,166.74,114.88,16,1494,17,1620
3 Star Hotels+,2022-07,49848,40159,80.6,191.07,153.93,15,1593,16,1608
3 Star Hotels+,2023-06,69300,54198,78.2,173.55,135.73,21,2232,23,2310
3 Star Hotels+,2023-10,72354,61751,85.3,173.0,147.65,21,2256,23,2334
3 Star Hotels+,2024-11,75900,69815,92.0,242.86,223.39,21,2381,24,2530
4 Star Hotels+,2015-01,143871,125152,87.0,427.21,371.63,23,4641,23,4641
4 Star Hotels+,2015-05,143871,105807,73.5,391.16,287.67,23,4641,23,4641
4 Star Hotels+,2018-06,169950,87431,51.4,233.29,120.02,29,5665,29,5665
4 Star Hotels+,2019-09,171180,121756,71.1,226.24,160.92,29,5706,29,5706
4 Star Hotels+,2020-11,174960,127193,72.7,208.17,151.33,30,5832,30,5832
4 Star Hotels+,2021-03,177506,123888,69.8,231.2,161.36,30,5726,30,5726
4 Star Hotels+,2022-10,184016,98372,53.5,299.5,160.11,31,5936,31,5936
4 Star Hotels+,2023-07,230516,113926,49.4,211.06,104.31,38,7130,40,7436
5 Star Hotels+,2016-09,296460,167911,56.6,680.26,385.29,35,9660,36,9882
5 Star Hotels+,2017-10,334893,174052,52.0,584.05,303.54,39,10581,40,10803
5 Star Hotels+,2018-05,352222,170775,48.5,548.53,265.96,40,10945,42,11362
Deluxe Apartments+,2016-09,119700,88330,73.8,325.26,240.02,7,3990,7,3990
Deluxe Apartments+,2020-12,172577,84719,49.1,324.85,159.47,15,5567,15,5567
Deluxe Apartments+,2022-11,253140,147138,58.1,1552.05,902.13,28,8438,28,8438
Qatar+,2016-06,607920,289334,47.6,439.01,208.94,85,19869,88,20264
Qatar+,2016-07,625146,334228,53.5,498.7,266.62,84,19818,86,20166
Qatar+,2016-10,636988,397346,62.4,480.81,299.93,87,20153,90,20548
Qatar+,2018-01,745922,447242,60.0,388.84,233.14,105,23667,108,24062
Qatar+,2019-07,816850,493092,60.4,373.98,225.75,114,25593,118,26350
Qatar+,2020-12,862420,542664,62.9,353.11,222.19,123,27351,127,27820
Qatar+,2023-11,1166190,827444,71.0,404.84,287.24,186,38453,192,38873
Standard Apartments+,2015-10,5146,3414,66.3,246.94,163.83,3,166,3,166
Standard Apartments+,2017-02,23996,7927,33.0,308.81,102.01,5,857,5,857
Standard Apartments+,2019-12,30597,22182,72.5,281.33,203.96,6,987,6,987
Standard Apartments+,2022-03,32612,19759,60.6,274.45,166.29,8,1052,8,1052
Standard Apartments+,2022-09,31560,18525,58.7,266.56,156.47,8,1052,8,1052
